HireDate,LastName,FirstName,homebase,Phone,EmpID,JobCode,Salary
07NOV1992,BEAUMONT,SALLY T.,LONDON,1132,E00525,PILOT1,72000
12MAY1985,BERGAMASCO,CHRISTOPHER,CARY,1151,E02466,FLTAT3,41000
04AUG1988,BETHEA,BARBARA ANN,FRANKFURT,1163,E00802,PILOT2,81000
22APR1987,BJURSTROM,ROBERT M.,FRANKFURT,1175,E00565,PILOT2,83000
23SEP1982,BONDS,SUSAN B.,LONDON,1195,E01457,FLTAT2,36000
03APR1994,CHANG,TERESA L.,LONDON,1348,E04296,PILOT1,65000
31MAR1993,CHOPRA,JOANN H.,FRANKFURT,1367,E03631,FLTAT2,35000
12MAY1983,CHRISTENSEN,ANNETTE M.,FRANKFURT,1368,E04219,FLTAT2,38000
15JAN1982,CHRISTIAN,JOHN G.,LONDON,1369,E01146,FLTAT1,28000
13JAN1984,CIAMPA,DOUGLAS G.,LONDON,1374,E02158,FLTAT3,44000
12OCT1986,CLAYTON,JOHN C.,CARY,1381,E02789,FLTAT2,37000
26NOV1983,DIELEMAN,WILLIAM,LONDON,1131,E01132,PILOT3,108000
09FEB1994,DOWELL,DANIEL R.,CARY,1541,E01886,PILOT1,71000
05JUL1983,DOWTY,JOANNE,CARY,1544,E02306,PILOT3,112000
05JUL1993,EATON,KENNETH R.,FRANKFURT,1580,E02035,FLTAT3,48000
26JAN1984,EHRISMAN,ANITA M.,FRANKFURT,1592,E01093,FLTAT3,45000
26FEB1986,ELAM,KAREN E.,CARY,1593,E03125,FLTAT2,34000
23FEB1981,ELLIS,GREGORY,FRANKFURT,1595,E00364,FLTAT1,25000
15APR1994,EUNICE,ROBERT N.,CARY,1157,E03022,FLTAT1,23000
04APR1993,FEENSTRA,LISA,CARY,1160,E01968,FLTAT2,33000
23DEC1990,FITZGERALD,JAMES V.,CARY,1168,E03511,FLTAT1,21000
19NOV1985,FRITZLER,APRIL R.,CARY,1177,E04070,PILOT1,68000
27SEP1991,GILMORE,EDWARD,CARY,1190,E02692,FLTAT2,35000
13AUG1980,GODFREY,GERALD T.,LONDON,1738,E01493,PILOT3,94000
11JUN1983,GOODWIN,CYNTHIA Q.,CARY,1752,E03510,FLTAT1,29000
21FEB1991,GREEN,STEVEN T.,CARY,1774,E02207,PILOT2,86000
21JUL1987,HOLMAN,GREGORY A.,LONDON,1938,E00385,PILOT2,75000
23JUL1982,HOLZWORTH,ELEANOR,LONDON,1947,E01038,PILOT3,92000
27OCT1982,HUNT,EDWARD A.,CARY,1985,E02643,PILOT1,72000
21JUN1985,INGOLD,CHRISTOPHER R,CARY,1994,E03233,FLTAT1,30000
23AUG1983,INSLEY,PHILIP,CARY,1996,E03423,FLTAT1,28000
06AUG1989,KUHFELD,MICHAEL T.,FRANKFURT,2141,E03939,PILOT2,76000
14JUN1984,KUNKEL,LARRY,CARY,2146,E00486,PILOT3,93000
01JUL1987,LACK,PHYLLIS M,CARY,2153,E00084,PILOT2,77000
29SEP1994,LANGSTON,HAROLD L.,FRANKFURT,2164,E02397,FLTAT1,22000
07OCT1987,LARSEN,FREDRICK,LONDON,2166,E04151,FLTAT1,29000
11JUN1985,LASATER,EVAN L.,CARY,2167,E03878,FLTAT3,44000
21MAY1983,MCNEILL,BRENDA R.,CARY,2350,E02615,FLTAT3,43000
29AUG1994,MEDLEY,LINDA,FRANKFURT,1342,E00620,PILOT1,66000
11OCT1980,MEEKS,KRAIG E.,LONDON,2358,E00753,FLTAT2,34000
20MAY1992,MEHLER,REBECCA L.,LONDON,2360,E02075,FLTAT1,24000
06JUN1990,MENDENHALL,VIRGIL S.,LONDON,2366,E01776,FLTAT1,25000
08MAR1989,MEREDITH,JOHN,CARY,1344,E02711,PILOT2,78000
23JUN1985,MERRILL,NANCY A.,CARY,1347,E03720,PILOT3,95000
11JUL1984,MISSELL,PATRICIA L.,FRANKFURT,2385,E00772,FLTAT3,41000
02APR1989,MITCHELL,GREGORY R.,LONDON,2388,E01163,FLTAT2,34000
25JUL1982,OHUOBA,TYRAN M.,CARY,1381,E02102,FLTAT3,42000
06JUN1992,PETERS,KRISTI A.,LONDON,2553,E00710,FLTAT2,33000
